"filename", "language", "Markdown", "Ignore", "JSON", "JSON with Comments", "TypeScript", "HTML", "SCSS", "YAML", "C#", "XML", "XAML", "Docker", "comment", "blank", "total"
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Exceptions\MultipleAttemptsNotAllowedException.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Exceptions\QuizNotActiveException.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Hubs\AttemptsHub.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 18, 7, 57
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Hubs\QuizzesHub.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 12, 5, 40
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Models\AiAssessment.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 34, 10, 60
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Models\Attempt.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 5, 48
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Models\DTOs\AiAssessmentDTO.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 6, 2, 23
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Models\DTOs\BatchUpdateSolutionGradesRequest.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 37, 10, 66
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Models\DTOs\ExamineeAttempt.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 2, 50
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Models\DTOs\ExamineeQuiz.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 24
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Models\DTOs\ExaminerAttempt.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 3, 53
"c:\Users\Ahmed\projects\CodeQuiz\CodeQuizBackend\Quiz\Models\DTOs\ExaminerQuiz.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
